Name,Path,Type,Size (bytes),Modification Time
bookmarks_1_8_24.html,C:\Users\kroy2\Documents\bookmarks_1_8_24.html,File,231446.0,2024-01-08 20:57:44
bookmarks_9_30_24.html,C:\Users\kroy2\Documents\bookmarks_9_30_24.html,File,237193.0,2024-09-30 23:13:14
Default.rdp,C:\Users\kroy2\Documents\Default.rdp,File,0.0,2024-10-01 21:08:05
desktop.ini,C:\Users\kroy2\Documents\desktop.ini,File,402.0,2024-10-01 20:54:04
directory_structure.csv,C:\Users\kroy2\Documents\directory_structure.csv,File,43490.0,2024-10-03 07:56:08
My Music,C:\Users\kroy2\Music,Directory,,2024-10-01 20:54:04
My Pictures,C:\Users\kroy2\Pictures,Directory,,2024-10-01 20:54:04
My Videos,C:\Users\kroy2\Videos,Directory,,2024-10-01 20:54:04
python,C:\Users\kroy2\Documents\python,Directory,,2024-10-01 21:47:26
Db3A backup,C:\Users\kroy2\Documents\python\Db3A backup,Directory,,2024-10-01 21:45:25
.vscode,C:\Users\kroy2\Documents\python\Db3A backup\.vscode,Directory,,2024-10-01 21:45:22
settings.json,C:\Users\kroy2\Documents\python\Db3A backup\.vscode\settings.json,File,78.0,2020-09-06 12:00:02
backbup_weird home issue,C:\Users\kroy2\Documents\python\Db3A backup\backbup_weird home issue,Directory,,2024-10-01 21:45:25
button_snap.py,C:\Users\kroy2\Documents\python\Db3A backup\backbup_weird home issue\button_snap.py,File,706.0,2020-09-12 01:51:45
check_mount.py,C:\Users\kroy2\Documents\python\Db3A backup\backbup_weird home issue\check_mount.py,File,89.0,2020-09-13 12:39:53
db.py,C:\Users\kroy2\Documents\python\Db3A backup\backbup_weird home issue\db.py,File,1669.0,2020-09-12 21:39:36
db2.py,C:\Users\kroy2\Documents\python\Db3A backup\backbup_weird home issue\db2.py,File,1979.0,2020-09-13 15:44:03
db3.py,C:\Users\kroy2\Documents\python\Db3A backup\backbup_weird home issue\db3.py,File,4962.0,2020-09-13 22:37:22
db_all.py,C:\Users\kroy2\Documents\python\Db3A backup\backbup_weird home issue\db_all.py,File,1842.0,2020-09-12 21:39:23
doorbell.h264,C:\Users\kroy2\Documents\python\Db3A backup\backbup_weird home issue\doorbell.h264,File,7493139.0,2020-09-12 21:26:30
doorbell.jpg,C:\Users\kroy2\Documents\python\Db3A backup\backbup_weird home issue\doorbell.jpg,File,249824.0,2020-09-14 20:58:14
passive_buzzer.py,C:\Users\kroy2\Documents\python\Db3A backup\backbup_weird home issue\passive_buzzer.py,File,719.0,2020-09-13 00:40:16
pwm.py,C:\Users\kroy2\Documents\python\Db3A backup\backbup_weird home issue\pwm.py,File,4707.0,2020-09-13 15:05:56
pwm2.py,C:\Users\kroy2\Documents\python\Db3A backup\backbup_weird home issue\pwm2.py,File,2919.0,2020-09-13 15:26:29
testfordoorbellfolder.txt,C:\Users\kroy2\Documents\python\Db3A backup\backbup_weird home issue\testfordoorbellfolder.txt,File,5.0,2020-09-11 19:11:32
testing_mqtt_con_to_HA.py,C:\Users\kroy2\Documents\python\Db3A backup\backbup_weird home issue\testing_mqtt_con_to_HA.py,File,1024.0,2020-09-12 15:38:48
